Problem,Num_Solutions,Novelty,Success_Rate,Num_Evaluated
01_1LDB,1,0.458,1.61,62
02_1ITU,3,0.376,4.49,89
03_2CGA,0,0.000,0.00,65
04_5WN9,2,0.281,5.05,99
05_5ZE9,22,0.371,53.68,95
06_6E6R,47,0.36,56.25,96
07_6E6R,14,0.294,33.33,90
08_7AD5,0,0.000,0.00,64
09_7CG5,37,0.364,64.71,68
10_7WRK,3,0.382,5.36,56
11_3TQB,5,0.398,58.02,81
12_4JHW,1,0.384,1.45,69
13_4JHW,2,0.376,3.85,52
14_5IUS,0,0.000,0.00,21
15_7A8S,3,0.291,35.94,64
16_7BNY,6,0.438,8.43,83
17_7DGW,6,0.278,29.35,92
18_7MQQ,0,0.000,0.00,48
19_7MQQ,0,0.000,0.00,49
20_7UWL,0,0.000,0.00,42
21_1B73,5,0.371,5.05,99
22_1BCF,3,0.206,100.00,100
23_1MPY,3,0.415,3.00,100
24_1QY3,14,0.401,49.00,100
25_2RKX,3,0.302,45.00,80
26_3B5V,1,0.204,5.66,53
27_4XOJ,14,0.294,22.00,100
28_5YUI,12,0.375,28.28,99
29_6CPA,0,0.000,0.00,68
30_7UWL,0,0.000,0.00,14
